donor_id,dataset,sample_type,self_reported_ethnicity,ethnicity_ontology_term,mage_1kgp_population,mage_1kgp_ancestry,genomic_ancestry_pca,genomic_ancestry_ml,ml_confidence,PC1,PC2,PC3,ethnicity_ancestry_concordance
037_S_1078,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5945305152354223,-0.00882475,-0.0122205,0.00566909,discordant
037_S_4001,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6090207783961412,-0.00890176,-0.0118971,0.00657864,discordant
037_S_4015,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5903568824710526,-0.00882474,-0.0122955,0.00565836,discordant
037_S_4028,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.590454119602779,-0.00877161,-0.0127341,0.00389023,discordant
037_S_4030,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5903551605384356,-0.0086896,-0.0132202,0.00445161,discordant
037_S_4146,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8045580471275451,-0.00898811,-0.0120556,0.00350358,discordant
037_S_4214,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6067817407795819,-0.0087542,-0.0129388,0.00486252,discordant
037_S_4302,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5917059419922408,-0.00911374,-0.0131148,0.00414077,discordant
037_S_4308,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6102341624503439,-0.00915645,-0.0128137,0.00329238,discordant
037_S_4381,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6076054897181609,-0.00839416,-0.0114441,0.00579582,discordant
037_S_4410,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8071036083601129,-0.00873601,-0.0119063,0.00442895,discordant
041_S_0679,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8048520302996174,-0.00902223,-0.0128317,0.00532028,discordant
041_S_1010,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00870491,-0.00921463,0.00517565,concordant
041_S_1260,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6058672772177291,-0.00905436,-0.0118282,0.00608732,discordant
041_S_1418,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AMR,0.8004788919683198,-0.0084428,-0.0125596,0.00554256,discordant
041_S_1425,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5978570070138671,-0.0092909,-0.0128111,0.00446505,discordant
041_S_4004,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5952958276797593,-0.00719991,-0.0106267,0.00833177,discordant
041_S_4037,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.6097149741546773,-0.00879332,-0.0128912,0.00591063,discordant
041_S_4041,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5863163142245285,-0.00816373,-0.0128185,0.00354907,discordant
041_S_4051,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00560755,-0.00802944,0.00806648,concordant
041_S_4060,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8039358075503541,-0.00871348,-0.012391,0.00381547,discordant
041_S_4138,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5912638444734423,-0.00896048,-0.0133426,0.00281957,discordant
041_S_4143,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5910920283537735,-0.00888362,-0.0129435,0.00663809,discordant
041_S_4200,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00621944,-0.00892289,0.00965619,concordant
041_S_4271,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5908197154735684,-0.00884443,-0.0118086,0.0070331,discordant
041_S_4427,ADNI,ADNI,black or african american,HANCESTRO:0010,,,Unknown,Uncertain,0.6086783121213959,0.0415702,0.00353815,0.00905484,discordant
041_S_4510,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00632876,-0.00982765,0.00989578,concordant
041_S_4513,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,AMR,1.0,-0.00716134,-0.00989666,0.00838627,discordant
051_S_1040,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00569995,-0.00804111,0.00842414,concordant
051_S_1072,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,EUR,0.7986856539993374,-0.00894234,-0.0114403,0.00414963,concordant
051_S_1123,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00659451,-0.00863505,0.00758341,concordant
051_S_1131,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00528623,-0.00755749,0.00858317,concordant
051_S_1331,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00558986,-0.00848516,0.00717698,concordant
052_S_0671,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,AFR,0.8039187058649672,-0.00876092,-0.0125147,0.0048006,discordant
052_S_0951,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00586673,-0.00795582,0.00963393,concordant
052_S_0952,ADNI,ADNI,white,HANCESTRO:0005,,,EUR,EUR,1.0,-0.00544258,-0.00807766,0.00923506,concordant
052_S_0989,ADNI,ADNI,white,HANCESTRO:0005,,,Unknown,Uncertain,0.5942259161241272,-0.00951717,-0.0126969,0.00507626,discordant
