sample_id,data_source,sample_type,ethnicity_reported,consensus_ancestry,ancestry_confidence,ethnicity_ancestry_concordance,PC1,PC2,PC3
HG00290,MAGE,tissue,white,,,unknown,-0.0123002,-0.00184219,0.00699834
HG00304,MAGE,tissue,white,,,unknown,-0.0122633,-0.00288676,0.00829495
HG00311,MAGE,tissue,white,,,unknown,-0.0128027,-0.00465978,0.0101357
HG00318,MAGE,tissue,white,,,unknown,-0.0127871,-0.00442179,0.0057233
HG00320,MAGE,tissue,white,,,unknown,-0.0123358,-0.00342303,0.00729285
HG00325,MAGE,tissue,white,,,unknown,-0.0125562,-0.00162562,0.00638894
HG00326,MAGE,tissue,white,,,unknown,-0.0124612,-0.00305126,0.0073048
HG00327,MAGE,tissue,white,,,unknown,-0.0122687,-0.00268396,0.00743932
HG00331,MAGE,tissue,white,,,unknown,-0.0122971,-0.00286612,0.00813625
HG00335,MAGE,tissue,white,,,unknown,-0.01262,-0.00414903,0.00684626
HG00337,MAGE,tissue,white,,,unknown,-0.0125855,-0.00435007,0.00823646
HG00342,MAGE,tissue,white,,,unknown,-0.0123567,-0.00173375,0.00875707
HG00355,MAGE,tissue,white,,,unknown,-0.0126902,-0.00389942,0.00881077
HG00360,MAGE,tissue,white,,,unknown,-0.0124481,-0.00406625,0.00665631
HG00368,MAGE,tissue,white,,,unknown,-0.012256,-0.0018563,0.00736664
HG00372,MAGE,tissue,white,,,unknown,-0.0128362,-0.00311205,0.00811307
HG00382,MAGE,tissue,white,,,unknown,-0.012195,-0.00207034,0.00687381
HG00404,MAGE,tissue,asian,,,unknown,-0.0030806,0.0618867,-0.019042
HG00410,MAGE,tissue,asian,,,unknown,-0.00291801,0.0610939,-0.0182544
HG00442,MAGE,tissue,asian,,,unknown,-0.00291351,0.0620064,-0.0179673
HG00463,MAGE,tissue,asian,,,unknown,-0.00307065,0.062089,-0.0181019
HG00473,MAGE,tissue,asian,,,unknown,-0.00287204,0.061798,-0.0200769
HG00475,MAGE,tissue,asian,,,unknown,-0.00294535,0.0614262,-0.0181753
